id,sentiment,text_tweet
47,negative,malam nonton film pagi ane download malem langsung nonton ane smpai begadang hasil ane kecewa httpfbme13szi5lbc
48,negative,takut kecewa nonton film danur takut ga sesuai ekspetasi buku mikir serius
49,negative,nonton alien covenant cinema21 mall mcimall kaya nonton baja parah yg skip mati mati jelek parah film bagus jelek
50,negative,gue orang yg jarang bgt nntn film indonesiakrn nntn gue slalu kecewa buat film yg mnrt gue ga totalitas
51,negative,ragu nonton banyak kecewa nonton film adaptasi novel
52,negative,gamau berekspektasi sih film angkat dr buku kecewa
53,negative,ya tidur kecewa film nya diharepin hufy
54,negative,ane kecewa ma nih film udah nungguin
55,negative,ka selliyamanto udah nonton membabibuta kecewa nonton film tu
56,negative,jenuh nonton film hambar
57,negative,sesal dada nonton film
58,negative,netizen batal nonton film kartini garagara laku therealdisastr httpbitly2o2irpy
59,negative,film jelek ga isi
60,negative,film aneh ajaa
61,negative,aneh film baru conan kali gk spektakuler tp openingnya hancurin gedung sih
62,negative,askmenfess film bikin emosional benerbener nyedot emosi
63,negative,pandji insyaallahsah film busuk artis dungu rusak bhineka
64,negative,kecewa dgn plot cerita film the guys critanya akan lompat ga proses visual yg bs bikin kta erti amira suka sm alf
65,negative,jijik banget film pas kelinci gede nightmare parah httpstcoedoifus8p5
66,negative,bnyak yg bilang film mummy jelek pdahl ken nonton
67,negative,bilang film jelek daur ulang gagal imdb ratattote aja ratingnya anjlok tp turut suka film
68,negative,naruto film bodoh ke8 haha fakta quote
69,negative,gw ekspektasinya film kuat narasi yg gw jadiin motivasi tp kalimat inspiratifnya hehehe
70,negative,film e hambar
71,negative,film the mummy gue gak sesuai harap gimana gitu film weird film tipe bang tom
72,negative,yah kirain film wkwk tonton kecewaa
73,negative,bilang jelek ya bilang aja yg film teman filmya bagus aja ngga bkin tmen lu maju sih
74,negative,abis nonton king arthur temen gw sen sblm nonton loh film jelek jgn percaya ama sen yg unsur
75,negative,kadang gampang nilai film jelek ketimbang nilai film bagus mbuh
76,negative,film dah udh bgni jijk
77,negative,film kartini menang pd main film yg kelas yg nama ceritany riset
78,negative,yg ajar sejarah gimana konflik yg tampil film kartini kaya penuh ekspektasi aja
79,negative,film byk sensor g hambar
80,negative,moga ga busuk kyk film yg
81,negative,flm arah tuju nggak nyesel download sabar uji tonton hangout film
82,negative,nonton film hambarr
83,negative,erti film nya the mummy
84,negative,kecewa deh pkoknya mslh jam tayang bs aja ngertiin tp klu film cut yg g bs dingertiin kaulahtakdirkumembelamu
85,negative,novel favorit film hasil bikin kecewa parah tp teaser criticaleleven team ce serius film
86,negative,inti kmren kecewa bgt cinema21 krna mmbiarkan anak nnton film dewasa jam tayang malam 2030 wib criticaleleven
87,negative,aduh film jijk parah
88,negative,kecewa parah nnton film the guys ksini radit bkin film gapernah bener lucu nggak jalan cerita gadapet
89,negative,kecewa film danur luar ekspektasi
90,negative,ancur bgt film jelekk
91,negative,flm nya jelekk bingittsss
92,negative,film hangout aja sih gak kecewaa
93,negative,ending film kamar 207 jelekk
94,negative,film aja ngehek seriesnya ngehek ga
95,negative,suka film pesbukers cewe2 terllu buka tampil klo tonton anak
96,negative,buried film budget murah tingkat depresi tinggi
97,negative,film mikir ngapain nonton film isi anak sma nyesel
98,negative,gila film britney ever after jelek banget parah nyesel nonton gak sampe abis
99,negative,film danur nggak novel harap rem cuman bikin boring sorry teh novel bagus
100,negative,ga gua nonton film setan indonesia thur kecewa murah ngandelin sex
101,positive,keren bang flm lo radityadika sahabat keluarga cinta kentel banget tokoh main pas keren bang
102,positive,habis nonton film kong skull island 2017 lumayan greget film 75 deh layak nobar
103,positive,bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki
104,positive,abis nonton film kartini bagussss bgt dr sampe haruuuu
105,positive,romanharusbertahan bangga suka film yg kandung bnyak makna sperti rompisrepost layardrama rcti
106,positive,film danur dramatis laris
107,positive,film kartini telat nontonnya film bagus bangetkalian sukses mendeliver cerita pesan good job guys
108,positive,menang film kartini banggafilmindonesia
109,positive,pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop ya bikin susah loh
110,positive,film divergent seru ah udh selesai sih
111,positive,get out kalo cepetan nonton mending nonton fast furious 8 httptzucwebcom4 oaoo
112,positive,suka video youtube httpyoutubejxtmtj0fc2ua trailer film the guys bioskop 13 april 2017
113,positive,banyak nangis2nya selera sy kagum film kartini
114,positive,thank you mas awisuryadi tim yg uda danur film nya keren bangetbuat tmn2 yg nonton sila tonton rekomended
115,positive,danur film horor indonesia laris 2690000 tonton tayang 30 maret 2017 manojpunjabi danurmovie
116,positive,tambah film indonesia favorite ya criticaleleven baca buku nonton gak kecewa sama2 bagus ikanatassa
117,positive,coba nonton film deh asik parah
118,positive,nonton get out bener2 gk ekspektasi apa2 tarik karna film jordan peele puas keren parah film sakit jiwa
119,positive,kalo nyari film comedy recomended nih lucu parah asli
120,positive,cek tread aja film gak kenal asik tonton httpskaskushezsl nemu film bagus
121,positive,film bagus banget bioskop judul ziarah film indonesia patut apresiasi
122,positive,critical eleven film bagus cerita main gambar bagus puas banget dah nontonnya
123,positive,film ziarah layak tonton ken peluk sutradara sukses arah per mbah sri peran umur 95 thn
124,positive,nunggu tahun ni film kantinidhijabers
125,positive,satu film indonesia yg gue tunggu bgt tonton liat film lgsg gagal moveon pgn nnton lagiii criticaleleven
126,positive,tp bangga berkali2 lipat kalo film perdana ledak pasar catat film laris
127,positive,cenayangfilm mbah cucu barusan nonton night bus gila keren gin ya tinggal dikit layar bandung mbah kasi
128,positive,film indonesia baik tonton ziarah putar bioskop 18 mei 2017 catat hape tonton pertama
129,positive,sampe kagum banget film the guys raditya dkk kocak banget cinema21 sorayafilms 21theguysquiz
130,positive,papa mama nonton critical sm film indonesia blg film bagus terimakasi hanungbramantyo
131,positive,sumpah film danur bagus banget yg nihh film nyata bener seru bikin ngageting danurmovie
132,positive,yg udah nonton the guys pilih nonton cinema21 unlocked film action yg seru cocok nemenin pas long weekend
133,positive,nonton film the guys film ngakak abis sedih film paket yg komplit hehehehe sukses radityadika
134,positive,sumpah film bagus bngt nonton berkalikali gapernah bosen film the guys inspirasi tnx bang udah film radityadika
135,positive,kalo bom nonton kartini banget sih nonton film korea judul obsessed tp 18 huehe
136,positive,nang gegara nonton film kartini 1982 epic banget
137,positive,film ziarah muat lap hidup cinta sejarah misteri simak
138,positive,904 film kartini tonton umur film hibur didik inspirasi fff
139,positive,film sejarah jarang negara baca sejarah enggan tonton film hanungbramantyo kartini
140,positive,kerja film kartini sungguh2 main produksi selamat ya mas hanungbramantyo
141,positive,lapor mbah cenayangfilm film keren worth to watch syukur2 instrospeksi abis nonton
142,positive,thanks for today andibowooo film thebossbaby bagus banget dapet feel nya lucu ketawa amazing poko
143,positive,film ziarah amat keren bangga layak oscar
144,positive,barusan bgt kelar nntn filmziarah film lokal yg gue tonton hasil bikin nang bewe bw speechless liat akting alitalit
145,positive,bahagia temu film keren
146,positive,film kartini bagus bangettt wajib tonton
147,positive,minggu nonton danur review neng sih film horror indonesia bagus cenayangfilm screensaversid
148,positive,filmkartini inspirasi juang junjung nilai benar dominasi kuasa kaku budaya legacypictures
149,positive,10 bikin film horror film danur rujuk ringan takut
150,positive,moral yg petik film wonder woman salah satu jaga aurat dr cowok hidung belang
151,positive,5 film horor indonesia dapat 10 dapat tiket danurmovie httpbitlybelidanur
152,positive,trust me getout tipe film nyaman nikmat gak tau film mana baca sanasini ya beda
153,positive,nonton film getout berbudget minim tp hasil sungguh tk duga bgtu jenius smp mkir brulang yg sbnrnya trjadi
154,positive,salah film yg simple hasil luarbiasa ga aneh film getout dapet critical acclaim
155,positive,sy bahagia krn film bagus filmziarah tonton mrk mrk tugas guru guru bagus filmziarah
156,positive,pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop ya bikin susah loh
157,positive,film kartini bagus banget belah sampe nang film resah tonton
158,positive,film keren falsafah hidup salut
159,positive,males2an ajak liat the guys ngerasa duit terbang pasca nonton hangout eh beda tjoy film keren
160,positive,minta buka warganet indonesia sempat tonton film ziarah salah yg baik yg
161,positive,terngiang2 film critical eleven ya tuhan betapa ajar dr tonton hemmmm
162,positive,habis liat film kartini yg biasapemikiran gera kartini hrs lanjut
163,positive,filmkartini hanungbramantyo layak utk apresiasi gading yg retak tp retak samar film bagus
164,positive,film danur kes sosok asih expresi datar penasaran httpfbme1uxomgqjs
165,positive,danur seru bangat flm nya yg blm nonton harap nonton l4like
166,positive,filmfilm cocok lho tonton bareng anak yuk nonton film kualitas indonesia btind
167,positive,gue udah nonton bang sumpah pecah banget nih film hasil bikin mewek nontonnya httpstcoe9ubwutbqj
168,positive,nih film komedi lucu bangt bahasa jawa httpstco46i52na21l httpstcotopkrzd0dz
169,positive,sih sempet khawatir liat film adaptasi dr novel takut gak sesuai ekspektasi tp criticaleleven bikin speechless
170,positive,salah film yg gak bikin bosen tonton kali the intern what a lovely movie cenayangfilm
171,positive,gk nysel bg uda ntn vlog mu the guys dri smpe akhrnya bayar film mu bang kern kli radityadika serius
172,positive,abis nonton getoutmovie gokil sih premis keren film
173,positive,ernestprakasa slamat koh ernes menang film cek toko belah kuat karna agam seragam
174,positive,film keren banget bang keluarga cinta sahabat komedi dpt banget sumpah cinta alf radityadika
175,positive,scene rezaadinia gold moment criticaleleven dua emg dah takdir pasang plg cocok film
176,positive,film keren main gembira tonton menang kartini
177,positive,rt greatbos jarang nonton movie indonesia judul syahadat cinta bagus pirsa recommended jalan cerita seru hoo
178,positive,astagah film favorit lanjut
179,positive,bun moveon criticaleleven bikin ajar buku yg adaptasi film gak sama kualitas
180,positive,nonton critical eleven senang masuk kategori film indonesia wajib tonton
181,positive,coba nonton film deh asik parah
182,positive,unaazizah yanskii film keren
183,positive,suka film bentar tarik dhikefact
184,positive,ga sabar nunggu bluray nya special feature keren lucu kalo bloopernya
185,positive,film the guys wajib tonton sayang orang tua sahabat creatif cinta bebas kereen bgt kak radityadika
186,positive,film the guys nya keren abiss bang radityadika lucu dapet romance nya dapet sedih nya dapet
187,positive,41 vlog nunggu 22 tanggal rilis nonton kece banget cerita tebak film the guys radityadika
188,positive,kmrn nonton film the guys situ bener2 ngerasain bgt sahabat segala2y knapa bang bkn film sllu keren radityadika
189,positive,kartini pemamarannya sederhana film enak nikmat hanungbramantyo
190,positive,abis ntn film kartini bnr2 inspirasi buka pikir
191,positive,nonton kartini salah film nasional yg recommended tonton nang campur aduk
192,positive,film kartini niat banget lihat film keren mana scene2 yg sy titik air mata filmkartini kartini
193,positive,kartini salah film indonesia tema sejarah baik yg garap dgn serius tema msh relevan dgn kondisi skrg
194,positive,film kartini tonton generasi muda httpfbme6tqqdgglj
195,positive,turut danur bagus bangga film horor hasil karya bangsa
196,positive,fargo adaptasi film hasil season 1nya the best httpstcotkeek3evs9
197,positive,637000 waw keren flm horor dng tonton gin dlm 4 prillybie danurmovie
198,positive,filmziarah film tenang hanyut salut mbah ponco yg bawa karakter mbah sri filmziarah
199,positive,film yg tarik kisah cinta setia yg saji bikin kgn nenek recomended movie filmziarah meiberziarah
200,positive,nntn filmziarah film bagus kali 5 menit tonton gak anjak tetep ngliatin layar pdhl film dah selesai msh spicles sm endingnya
201,negative,black cats waiting to audition for a horror film in 1961 httpstcoiiai7qodep
202,negative,horror film httpstcoanixhgjux7
203,negative,horror film httpstcovoa51rpyge
204,negative,kitty horror film httpstcovonxa9jqw2
205,positive,she looks like a character out of a studio ghibli film httpstcosom4uolkip
206,negative,horror film httpstcofoxkdufrif
207,negative,horror film httpstcowiamenpasb
208,negative,horror film httpstcoo7v3i6dylc
209,positive,penasaran genre film nya adelrevaaa httpstco9bzdktmoha
210,positive,prnh deket cowo ube jurus pbi yg suka jd polisi grammar prnh gw nyebut film a quiet place a quit pleis kek bingung gitu film trs gw jelasin detail filmya trs ngmong ohhh a kwaiyet pleis kek anjirr beda tipis msak gk pahamm httpstcoezvpksmh5j
211,negative,black cats auditioning for a horror film httpstcozqsmh97ghv
212,positive,norman reedus ana de armas and anu reeves in new film fuckk this is going to be peak httpstcoscwg7elqkd
213,positive,aoakwowk pdhl maju plg ad film horor grgr yg kosnya skrng dikit org jd cemen bgt httpstco6qbcloqmbp
214,positive,salah download film httpstcobamfkjyysq
215,positive,jatuh cinta filmfilm film httpstcoxghorvm0ma
216,positive,lengah dikit main film httpstcoepbmrvbs8i
217,positive,film yg tunggu tunggu nonton malem iniii sih httpstcosbnamhh6tc
218,positive,film series latar jerman kesan buat httpstcooxx6ajmyg9
219,positive,moga nya film laku tangkap httpstcopqkttpucty
220,positive,paris on 35mm film httpstcoc30biwbo1g
221,positive,seruu gin moga lancar sukses project film nya adelrevaaa httpstco7pv4su9ebl
222,positive,how to make millions before grandma dies 2024 ruriarchives disclaimer thread ngebahas storylinereview film alam sesal alm nenek yg share reply thread selesai ya httpstcor2yqlt8dbl
223,positive,1932 httpstcocygcqi5e6j
224,positive,crow feeds and befriends stray kitten couple films the unlikely pairs friendship for over 8 months httpstco4a0tba9o4d
225,positive,the kids got super powers httpstco1agcsjxq4g
226,positive,sering nonton film baja ni httpstcocgmry2i1jr
227,positive,the brighter days short film was so magnificent httpstcoptwmxgzr2z
228,positive,in this short film we got oldiana cuntiana frankensteiniana we are so back httpstcocxh310j2ym
229,positive,this isn t it
230,negative,my aunts cat hates when she leaves so she guards her keys everyday i told her to film it as proof and this is what she sent me httpstcopvqlwns44c
231,positive,asosiasi dukun pelihara kejawen somasi film thaghut dukun sesat hmmm httpstcon3okgp7esb
232,positive,httpstcofxsy2pclrn
233,negative,trapped in a donation bin for 3 days httpstco65e1jqoax0
234,positive,ciee bang udah rasa redup ya cie tibatiba rajin bales komen cie tibatiba rajin caper wkwkw mending urusin noh film lo dpromoin gmm aja rtannya upil awokawok colek bbrightvc httpstcozviccyzfeo
235,negative,coach multitalent ya muncul film judul ghost soccer bola mati penasaran nih httpstcoe0kfho5kmi
236,positive,alur cerita hidup hebat filmfilm satusatunya plot twist saldo rekening aja masuk duit eh cilukba keluar duga
237,positive,dont touch the damn horse httpstcodexbnj0f45
238,positive,young black girls twerking in public while their mother proudly films it httpstcowjawzmo690
239,positive,udah nonton film bardi karakter utama nya mana bardion beneran keren banget film httpstcoaootrll4vi
240,positive,vibes nya kaya film orang kaya ttqifa chris httpstcolodnlyq29c
241,positive,avatar stars bailey bass britain dalton trinity bliss and jack champion for empiremagazine httpstcot4xvnhw3pz
242,positive,emmy nominations voting has officially begun httpstcooiqw3jqgfc
243,positive,dunia nyata film httpstcomkrfadd4fk
244,positive,new york on 35mm film httpstcolfsj8ju1dn
245,positive,me talking about the work of karwai httpstcokwxceo9dia
246,positive,js httpstcojnsspnrgpf
247,positive,that guy wasnt ready to die httpstcoqtkjo7z5vq
248,positive,someone watching paris texas for the first time httpstcokcudoemikc
249,positive,20 years ago today batman begins was released in theaters httpstcoxlcobvdvjg
250,positive,commando is an underrated film httpstcohoboqapbuk
251,positive,happy father s day from one of the best father figures in a film httpstcoapttwry2ix
252,positive,hidup film drama angkat kisah pria jatuh cinta perempuan tua tema relate hidup masyarakat hidupiniterlalubanyakkamu filmhitbk hitbkfilm pidibaiq httpstco6qwypycle5
253,positive,dziewczyna nagrywa film o tym e ma stwardnienie rozsiane i co miesi c mus przyjmowa lek za 6k z otych co robi konfederaci w komentarzach oczywi cie pisz takie rzeczy to pokolenie jest ju stracone mentzen tiktokiem wypra im bardziej m zg ni tvp emerytom za czas w pisu httpstcos0w3atokdu
254,positive,thunderbolts httpstcosrh2jxaei2
255,positive,kirain cgi setan merah film thaghut pakai orang beneran make upnya niat sih httpstcozg93hcj5kg
256,positive,judul film india httpstcohgqob4z1b8
257,positive,beres gala premiere cinta indah drama korea film kemas unyuunyu plot twistnya senang proyek selamat tonton tanggal 5 desember 2024 httpstcolqhepfirtd
258,positive,film dewasa httpstcovpekcmdsy2
259,negative,florence pugh is currently filming avengers doomsday she will then be off to film dune messiah right after httpstcoykbwusbdyz
260,positive,moonlight 2016 httpstcog1z2uaytqr
261,positive,asa nonton film lipe via joshuakandou httpstcoj7cxv6mdjs
262,positive,asa mana film saranjana banget fyp toktok besok tayang ya httpstco6ozxihpaky
263,positive,orang kalimantan tau gak kasih gin kursi putar perdana film saranjana kasih tau kepo banget httpstcopeu5av9qkp
264,negative,village of the damned 1960 httpstcofd0r55pjzn
265,positive,kecewa ttranafilms httpstcoxf1fnevh0v
266,positive,introvert bikin film igjustinthescott httpstcok1dkub2exg
267,positive,lmeden nce zlenmesi gereken 140 film imbd puan na g re s ralanm t r httpstcogr0asdcbst
268,positive,marilyn photos taken by lawrence schiller on the set of her final incomplete film somethings got to give 1962 httpstcoz96bi6f4y6
269,positive,a moment we love from ren cl ments plein soleil 1960 httpstco4t5k8fubnz
270,positive,godzilla king of the monsters 1954 httpstco2lswlzfai5
271,positive,vincent price working on his art collection 1944 httpstcoitopnaya4c
272,positive,abis nonton film pendek kau rabu perkara pintas httpstcofxfswqu3kv
273,positive,accurate httpstcovda8cuaikb
274,positive,bir izgi film sahnesi hi bu kadar ger ek olmam t httpstcom9gyysrkcd
275,positive,kategori film kadaluarsa httpstcowmf0ybfunh
276,positive,discussingfilm bro the story has already been finished with that masterpiece that is the second film without need httpstcot140go7khm
277,positive,a milestone deserves a masterpiece globally beloved french electronic artist m83 brings a special track to celebrate pubg s 8th anniversary hear it first in our 8th anniversary film this weekend then drop into our live servers to m83 s lobby track live on march 12 pc httpstcoh8wljaty5p
278,positive,viral lokasi syuting film kkn desa tari plunyon kalikuning malieqmaul httpstcodl9682d6eh
279,positive,freaks released on 20 february 1932 httpstco8eousfznn3
280,positive,horeee rewatch film buat film baik refal hady httpstcotu6yvekj0e
281,positive,mrbeast reveals his next video cost over 4m took 171 days to film 11 000 hours of footage and over a year to make httpstcormnue86rce
282,negative,situasi gawat jendral cakap khas terniang niang telinga kalimat adegan film g 30 s dim dewan jendral culik jemput paksa lahir 1970an 1980an 1990an httpstco3yhrahw9o4
283,positive,this scene should be studied in film schools httpstcow3fmoeib9j
284,positive,endang ibuibu jahit film the incredibles httpstcotkbbwt3ctt
285,negative,bela lugosi in officer uniform of austrohungarian army he fought on eastern front of ww1 1916 httpstcosxm3xhvq10
286,positive,seru nih film myannoyingbrother ngakak lucu plot twist bikin nang suka antem kakak adik wajib nonton sih film tayang bioskop nonton baseentid baseentertainment lifelikepictures filmmab creatormedia httpstco1ihjphogcz
287,positive,event ikut tinggal daerah jabodetabek ya 10 menang masingmasing 2 tiket nonton premiere film pasutri gaje cgv grand indonesia sabtu tanggal 3 februari 2024 mimin tunggu tanggal 29 januari 2024 httpstcosrh1bdltj1
288,negative,racun sangga is horror somethin fresh trailer goksss banget ngangkat santet kalimantan origin vibes cctv alaala paranormal activity bikin kisah rasa banget btw film angkat thread film rekam asli korban penasaran httpstcoh4hlxrfcmk
289,positive,kuntilanak buka cabang pohon puluh negara film anak kunti tayang bioskop httpstco0ltgjjklhi
290,positive,lihat cuplik film tiktok bikin hati sesak ya standar nikah mata orang anak udah juang matimatian anggap lengkap segitunya kah nilai orang taruh situ doang httpstcoqz9kz3xped
291,positive,film lucu bikin mikir cocote tonggo duaduanya bayu skak jago banget ngocok emosi nggak lucu berani nyentil realita sosial manusia suka purapura kuat wajib banget sih film tonton httpstcoy7fbs48ymj
292,positive,drawing closer 1010 nang bgt pas scene 3 gerbera flowers pluss colorgrading nya sungguh indah yg film bener bener 1010 ruriarchives httpstcodylxtrg8x0
293,positive,how to film a hotel video in 43 seconds httpstcosfm90ymkkl
294,positive,httpstcoewritjk02x
295,positive,the vourdalak french le vourdalak is a 2023 french dramahorror film directed by adrien beau httpstcovpsgi3etkr
296,positive,what s your favorite film from 2006 httpstcoxxtxinwrbk
297,negative,the masque of the red death 1964 starring vincent price httpstcorpxyl1se6g
298,positive,baby franklin and baby joey httpstcobcgwsbxsdh
299,positive,everything has led to the final reckoning missionimpossible httpstco8mjec6ubol
300,positive,the time machine 1961 the morlocks httpstcowodbxr2lgf
301,positive,a 1971 classic film httpstcog2r9m3birt
302,positive,happy fathers day drop your favourite father from filmtv ill start httpstcozi9qtbflj7
303,positive,httpstco6asxowgbyu
304,positive,35mm film httpstcobrinhgbcgc
305,positive,one of the hardesthitting flashback scenes in film history httpstcov9msmabrkq
306,negative,what is an image from a film that still haunts you httpstco2btwtrxtms
307,positive,gjls ibu ibuibu film goblok beneran gjls bgt anjeeenggggggg capekkkkk ngakakkk bangsat ngide adegan bloopers dimasukin scene anjinggg lucu banget gak lu temuin macem gin film mana httpstcot68zwqwfca
308,positive,in honor of studio ghiblis 40th anniversary what s your favorite film from the studio httpstco4cobnybfbr
309,positive,some guys get it some guys dont httpstcof8xtxvkhu3
310,positive,red dawn 1984 such a great forgotten about film httpstcojfvhphnu2g
311,positive,battle royale is a japanese film that started the genre of openmap survival and likely inspired games like fortnite httpstcoummkp8eavk
312,positive,first look at paul kelly as jfk jr in american love story premiering february 2026 httpstco2ls31dqhxa
313,positive,httpstcoqgdjnxvvbw
314,positive,marilyn monroe dressed up as american silent film actress and sex symbol theda the vamp bara 1958 photo by richard avedon httpstcohmwmydj59e
315,positive,nightcrawler is a phenomenal film httpstcoy7yfhpuqyx
316,positive,christopher lee as resurrection joe in corridors of blood 1958 httpstcob37d6qw0yx
317,positive,httpstco6uzpwbmzyj
318,negative,pharaohs didn t die alone httpstcoufjhxnaffo
319,positive,cuman film bikin gw merinding ga nyesel nonton bioskop ampe kalo nonton cuplik kayak gin mering coii wkwkkww
320,positive,soraya intercine films sembah official trailer catat hari menantu sinting ariel tatum raditya dika film karya sunil soraya bioskop 18724 catatanharianmenantusinting arieltatum radityadika httpstcok8lsbb21pg
321,negative,sore syuting film lapang minggir yogyakarta vanhoutenbeatrick httpstcoppnir4y2yp
322,positive,kawasan wisata plunyon adem sejuk rimbun indah tempat salah adegan syuting film kkn desa tari plunyon kalikuning paman drone httpstco0v1qfxeiz3
323,positive,h1 ketemu adimas adelia yuk dengerin original soundtrack film pasutri gaje pasutri gaje 7 februari 2024 bioskop httpstcodqrc1mxic8
324,positive,baca caption film kkn desa tari hasil gaet masyarakat tonton bioskop unjung lokasi syuting salah satu plunyon kalikuning wisata plunyon kalikuning letak kedungsriti rt01rw06 umbulharjo httpstcoke00jmy9qf
325,positive,next level film azab ttpridijayapusto httpstcos9nrivsj2m
326,positive,hidup film kali kenal sederhana kesan terima kasih samarinda nyala httpstcopamt4aj7lz
327,positive,gw nonton iklan drama cina sampe bener2 penasaran cari film fullnya
328,positive,everyone tributes the film jim lee flexing his shading skills httpstcohedkcjxk81
329,positive,the stars of how to train your dragon tell us which classic cartoons they want to see in liveaction ben 10 danny phantom codename kids next door httpstco0ikcc5a5uy
330,positive,its national roller coaster week post a scene with a roller coaster from tv or film httpstcoxhody56iaw
331,positive,exclusive clip setan botak jembatan ancol waspada bioskop kena ciluk ba setan botak komedi horor semesta si manis jembatan ancol film setan botak jembatan ancol tayang besok 6 maret bioskop dapat buy 1 get 1 gass httpstco7en0tajp9i
332,positive,one of the best films of wes anderson s career httpstcoah9u47zgcr
333,positive,on this day 11 years ago how to train your dragon 2 released in theaters today the new liveaction how to train your dragon is out httpstco2n2uxseh9r
334,positive,libur otak kerja keras healing hati sembuh hahahehe ramai diamdiam sepi benci bohong tipu main film jago akting ya
335,positive,the park chanwook collection 12 films 2 4k versions 2 short films 2 tv shows 1 documentary 1 extended edition httpstcokyggwsomwh httpstcojrh6ib2dv6
336,positive,without saying coming to america fav eddie murphy film httpstcouiji2v908w
337,positive,gua sakit hati film lu ya untung in rl nya bahagia
338,positive,les films nig rians juste merci enft httpstcoyfcfwuy49z
339,positive,galactus throughout the years 2007 to 2025 httpstcozerkv2875d
340,negative,horror dads come in all forms these 15 films showcase the terrifying tragic and downright twisted patriarchs of the genre see the list on horrorville httpstcoe6wwurdiav httpstcox9pkrpgax4
341,positive,the incredible hulk was released 17 years ago today httpstcoc8igra0v3t
342,positive,this is sparta might be the most perfectly delivered line in any action film httpstcohx6sk0vich
343,positive,happy 35th birthday to aaron taylorjohnson httpstcoufrt0c2czy
344,positive,tourist secretly films downtown north korea httpstcocy1tvmppjw
345,positive,sevdigin kisi ayn ev ayn koltuk kahve ve film httpstcowufttqvxf9
346,negative,top 10 netflix nonenglish series netflix worldwide mad unicorn produksi gdh bagus ngikutin series aja nih httpstco6nhcjjsmkm
347,positive,1 kakak 7 ponakan garap yandy laurens rilis netflix bulan httpstcotidn50ypis
348,positive,trailer racun sangga bagus banget film ngangkat santet kalimantan bosen jawa angkat thread janji gak sabar ni kasih link threadnya httpstcocoap005ipd
349,negative,know who you mess around with httpstcout9spyaibt
350,positive,what if a giant oyster ate you httpstcob4qefplsj1
351,positive,21 grams of shroooooooooooooms httpstcohakwrvfvya
352,positive,what s your favorite film from 1978 httpstcooxecq8uwp5
353,positive,what s your favorite kevin bacon film httpstcop0vavmxkeo
